frame_id,frame_name,delta_area_nm2_per_frame
336,11dd74426e8374ac110c4036c77c09ab_000000000376,190.448200
337,11dd74426e8374ac110c4036c77c09ab_000000000377,-24.834680
338,11dd74426e8374ac110c4036c77c09ab_000000000378,-707.232917
339,11dd74426e8374ac110c4036c77c09ab_000000000379,25.061947
340,11dd74426e8374ac110c4036c77c09ab_000000000380,660.716157
341,11dd74426e8374ac110c4036c77c09ab_000000000381,-84.055841
342,11dd74426e8374ac110c4036c77c09ab_000000000382,-71.711976
343,11dd74426e8374ac110c4036c77c09ab_000000000383,-86.994857
344,11dd74426e8374ac110c4036c77c09ab_000000000384,-8.817046
345,11dd74426e8374ac110c4036c77c09ab_000000000385,37.031594
346,11dd74426e8374ac110c4036c77c09ab_000000000386,-238.648053
347,11dd74426e8374ac110c4036c77c09ab_000000000387,798.621432
348,11dd74426e8374ac110c4036c77c09ab_000000000388,28.386112
349,11dd74426e8374ac110c4036c77c09ab_000000000389,-11.598626
350,11dd74426e8374ac110c4036c77c09ab_000000000390,-611.441247
351,11dd74426e8374ac110c4036c77c09ab_000000000391,629.907482
352,11dd74426e8374ac110c4036c77c09ab_000000000392,-14.650897
353,11dd74426e8374ac110c4036c77c09ab_000000000393,-225.104922
354,11dd74426e8374ac110c4036c77c09ab_000000000394,-3537.378536
355,11dd74426e8374ac110c4036c77c09ab_000000000395,-693.760580
356,11dd74426e8374ac110c4036c77c09ab_000000000396,-17.673888
357,11dd74426e8374ac110c4036c77c09ab_000000000397,761.655511
358,11dd74426e8374ac110c4036c77c09ab_000000000398,-18.508694
359,11dd74426e8374ac110c4036c77c09ab_000000000399,-224.344238
360,11dd74426e8374ac110c4036c77c09ab_000000000400,-7.780725
361,11dd74426e8374ac110c4036c77c09ab_000000000401,274.211612
362,11dd74426e8374ac110c4036c77c09ab_000000000402,-28.529325
363,11dd74426e8374ac110c4036c77c09ab_000000000403,-657.160241
364,11dd74426e8374ac110c4036c77c09ab_000000000404,310.718358
365,11dd74426e8374ac110c4036c77c09ab_000000000405,-280.273660
366,11dd74426e8374ac110c4036c77c09ab_000000000406,301.890722
367,11dd74426e8374ac110c4036c77c09ab_000000000407,5.853659
368,11dd74426e8374ac110c4036c77c09ab_000000000408,-143.242468
369,11dd74426e8374ac110c4036c77c09ab_000000000409,-1663.012912
370,11dd74426e8374ac110c4036c77c09ab_000000000410,-455.837814
371,11dd74426e8374ac110c4036c77c09ab_000000000411,-33.536924
372,11dd74426e8374ac110c4036c77c09ab_000000000412,406.988099
373,11dd74426e8374ac110c4036c77c09ab_000000000413,870.235400
374,11dd74426e8374ac110c4036c77c09ab_000000000414,-728.738288
375,11dd74426e8374ac110c4036c77c09ab_000000000415,428.283317
376,11dd74426e8374ac110c4036c77c09ab_000000000416,-7.596439
377,11dd74426e8374ac110c4036c77c09ab_000000000417,135.786350
378,11dd74426e8374ac110c4036c77c09ab_000000000418,1046.884273
379,11dd74426e8374ac110c4036c77c09ab_000000000419,-343.787917
380,11dd74426e8374ac110c4036c77c09ab_000000000420,62.094692
381,11dd74426e8374ac110c4036c77c09ab_000000000421,82.410330
382,11dd74426e8374ac110c4036c77c09ab_000000000422,548.956486
383,11dd74426e8374ac110c4036c77c09ab_000000000423,516.941461
384,11dd74426e8374ac110c4036c77c09ab_000000000424,-884.664087
385,11dd74426e8374ac110c4036c77c09ab_000000000425,-455.059639
386,11dd74426e8374ac110c4036c77c09ab_000000000426,1271.194405
387,11dd74426e8374ac110c4036c77c09ab_000000000427,93.828677
388,11dd74426e8374ac110c4036c77c09ab_000000000428,16.211237
389,11dd74426e8374ac110c4036c77c09ab_000000000429,-862.358324
390,11dd74426e8374ac110c4036c77c09ab_000000000430,29.497848
391,11dd74426e8374ac110c4036c77c09ab_000000000431,-637.934003
392,11dd74426e8374ac110c4036c77c09ab_000000000432,-2.180775
393,11dd74426e8374ac110c4036c77c09ab_000000000433,701.229432
394,11dd74426e8374ac110c4036c77c09ab_000000000434,33.590504
395,11dd74426e8374ac110c4036c77c09ab_000000000435,-308.605341
396,11dd74426e8374ac110c4036c77c09ab_000000000436,-107.477149
397,11dd74426e8374ac110c4036c77c09ab_000000000437,1.032999
398,11dd74426e8374ac110c4036c77c09ab_000000000438,362.467889
399,11dd74426e8374ac110c4036c77c09ab_000000000439,24.332344
400,11dd74426e8374ac110c4036c77c09ab_000000000440,-629.669674
401,11dd74426e8374ac110c4036c77c09ab_000000000441,246.197991
402,11dd74426e8374ac110c4036c77c09ab_000000000442,-205.681492
403,11dd74426e8374ac110c4036c77c09ab_000000000443,279.368723
404,11dd74426e8374ac110c4036c77c09ab_000000000444,-243.443329
405,11dd74426e8374ac110c4036c77c09ab_000000000445,662.782676
406,11dd74426e8374ac110c4036c77c09ab_000000000446,-228.130564
407,11dd74426e8374ac110c4036c77c09ab_000000000447,221.364985
408,11dd74426e8374ac110c4036c77c09ab_000000000448,-227.893175
409,11dd74426e8374ac110c4036c77c09ab_000000000449,884.154303
410,11dd74426e8374ac110c4036c77c09ab_000000000450,-73.590504
411,11dd74426e8374ac110c4036c77c09ab_000000000451,-442.704937
412,11dd74426e8374ac110c4036c77c09ab_000000000452,18.364419
413,11dd74426e8374ac110c4036c77c09ab_000000000453,24.906743
414,11dd74426e8374ac110c4036c77c09ab_000000000454,22.840746
