frame,cx,cy
834,858.93,466.73
835,866.17,475.81
836,839.83,468.38
837,847.77,462.66
838,846.94,469.94
839,850.58,470.85
840,858.80,475.04
841,856.92,459.13
842,843.76,464.92
843,838.64,470.52
844,837.64,470.20
845,836.76,480.42
846,853.21,481.03
847,847.35,474.71
848,845.44,477.19
849,856.75,485.02
850,835.24,490.11
851,842.65,495.67
852,849.19,494.39
853,849.50,500.91
854,1076.37,620.24
854,853.14,506.49
855,684.65,508.79
855,836.23,489.69
856,1080.20,620.85
856,844.02,492.64
857,797.36,550.49
857,786.69,550.82
857,841.46,494.08
858,840.92,482.18
859,847.19,474.06
860,839.50,473.38
861,851.60,474.94
862,821.76,429.92
863,852.64,475.03
864,835.76,458.58
865,821.61,454.52
866,815.68,455.16
867,807.16,461.90
868,828.25,457.51
869,820.02,444.58
870,835.51,449.56
871,819.07,466.09
872,819.10,464.54
873,803.00,460.16
874,835.98,468.97
875,842.91,473.99
876,864.12,480.44
877,875.51,492.52
878,929.01,617.05
878,864.88,475.41
879,880.29,483.37
880,878.71,496.70
881,876.72,563.03
881,809.72,554.70
881,882.01,487.60
882,887.73,503.61
883,874.02,495.39
884,870.84,490.45
885,858.96,478.52
886,869.94,482.93
887,889.27,492.80
888,865.51,480.51
889,869.34,486.52
890,856.96,465.74
891,870.11,476.95
892,866.78,474.87
893,1015.51,649.33
893,881.50,494.51
894,865.34,481.30
895,854.10,473.60
896,878.94,494.05
897,869.07,490.00
898,1042.78,649.67
898,869.03,490.42
899,878.03,493.52
900,869.58,490.59
901,864.92,483.88
902,874.26,497.39
903,850.10,477.64
904,851.80,485.62
905,869.09,491.20
906,864.78,482.16
907,868.99,483.43
908,869.77,477.86
909,982.96,631.58
909,872.18,481.23
910,873.68,492.24
911,865.73,489.81
912,878.11,495.52
913,874.50,492.14
914,865.24,485.85
915,833.51,460.50
916,841.18,465.87
917,869.83,486.16
918,1010.95,621.90
918,1011.62,615.65
918,863.93,477.18
919,1003.27,622.26
919,853.58,478.36
920,846.81,473.74
921,860.28,455.33
922,835.53,442.98
923,842.14,458.11
924,848.30,473.93
925,835.90,459.19
926,840.86,468.74
927,844.76,461.62
928,858.36,452.57
929,836.74,462.26
930,844.05,458.50
931,864.09,473.62
932,850.71,460.05
933,848.14,452.09
934,843.32,457.30
935,836.39,455.84
936,828.63,426.98
937,818.39,436.58
938,806.71,421.16
939,854.69,478.34
940,849.27,472.69
941,967.10,628.29
941,832.75,442.41
942,956.69,626.75
942,814.51,447.60
943,959.90,625.39
943,833.86,452.23
944,963.41,629.63
944,815.79,446.07
945,955.47,631.02
945,802.95,447.73
946,964.34,628.99
946,802.83,439.00
947,962.49,628.72
947,804.04,445.76
948,958.78,629.47
948,804.74,454.97
949,958.06,627.59
949,804.87,456.09
950,958.84,628.49
950,795.93,439.11
951,959.65,630.60
951,803.22,449.18
952,959.55,626.68
952,802.38,452.09
953,963.02,627.75
953,802.90,451.99
954,958.47,627.38
954,816.44,460.46
955,815.62,453.51
956,788.07,450.82
957,807.84,468.09
958,964.23,627.53
958,797.28,444.52
959,788.43,437.86
960,804.01,453.93
961,675.94,542.10
961,811.51,462.85
962,812.26,453.69
963,812.34,467.91
964,796.09,450.43
965,789.95,457.58
966,803.27,450.68
967,807.87,444.92
968,805.78,440.05
969,803.96,436.54
970,809.11,432.76
971,796.82,448.94
972,818.13,460.93
973,827.32,457.47
974,817.05,452.25
975,805.44,454.72
976,795.70,450.32
977,808.74,454.53
978,828.37,473.87
979,814.81,469.00
980,841.87,488.44
981,826.13,472.81
982,825.60,470.66
983,822.35,462.69
984,772.25,549.75
984,834.28,471.61
985,754.54,464.28
986,771.66,446.45
987,728.24,398.11
988,751.89,441.25
989,760.45,470.87
990,790.26,467.04
991,797.06,484.05
992,792.48,472.27
993,775.34,456.87
994,787.79,451.11
995,779.72,436.57
996,759.39,431.42
997,948.46,592.39
997,741.17,429.93
