instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
133,586,11dd74426e8374ac110c4036c77c09ab_000000000641,0.344520,178.813056,249.107107,187.047958
133,587,11dd74426e8374ac110c4036c77c09ab_000000000642,0.344520,172.225519,250.305653,187.288559
133,588,11dd74426e8374ac110c4036c77c09ab_000000000643,0.344520,170.563798,251.542091,188.312384
133,589,11dd74426e8374ac110c4036c77c09ab_000000000644,0.344520,167.240356,250.478691,188.299368
133,590,11dd74426e8374ac110c4036c77c09ab_000000000645,0.338788,159.253945,247.886183,185.966782
133,591,11dd74426e8374ac110c4036c77c09ab_000000000646,0.344520,137.151335,250.389575,187.678584
133,592,11dd74426e8374ac110c4036c77c09ab_000000000647,0.338788,175.853659,254.313755,186.287022
133,593,11dd74426e8374ac110c4036c77c09ab_000000000648,0.344520,159.169139,255.769070,189.608226
133,594,11dd74426e8374ac110c4036c77c09ab_000000000649,0.344520,144.688427,255.057298,189.128118
133,595,11dd74426e8374ac110c4036c77c09ab_000000000650,0.350446,128.584587,259.660022,191.950341
134,576,11dd74426e8374ac110c4036c77c09ab_000000000631,0.344520,2009.970326,300.824711,113.778835
134,577,11dd74426e8374ac110c4036c77c09ab_000000000632,0.344520,1999.050445,298.008955,112.208275
134,578,11dd74426e8374ac110c4036c77c09ab_000000000633,0.344520,2012.225519,303.638828,113.937238
134,579,11dd74426e8374ac110c4036c77c09ab_000000000634,0.344520,1951.097923,302.184079,112.448844
134,580,11dd74426e8374ac110c4036c77c09ab_000000000635,0.344520,1888.427300,300.509146,112.517468
134,581,11dd74426e8374ac110c4036c77c09ab_000000000636,0.344520,1886.409496,297.987527,110.993748
134,582,11dd74426e8374ac110c4036c77c09ab_000000000637,0.344520,1833.709199,299.874525,111.377212
134,583,11dd74426e8374ac110c4036c77c09ab_000000000638,0.344520,1848.308605,302.374612,113.398136
134,584,11dd74426e8374ac110c4036c77c09ab_000000000639,0.338788,1774.921090,296.104213,110.779628
134,585,11dd74426e8374ac110c4036c77c09ab_000000000640,0.338788,1787.776184,295.296551,111.348066
134,586,11dd74426e8374ac110c4036c77c09ab_000000000641,0.344520,1788.249258,302.675163,113.515640
134,587,11dd74426e8374ac110c4036c77c09ab_000000000642,0.344520,1760.830861,301.718690,113.745327
134,588,11dd74426e8374ac110c4036c77c09ab_000000000643,0.344520,1752.759644,304.530830,113.392616
134,589,11dd74426e8374ac110c4036c77c09ab_000000000644,0.344520,1710.860534,301.759757,112.897883
134,590,11dd74426e8374ac110c4036c77c09ab_000000000645,0.338788,1649.928264,298.193622,111.814169
134,591,11dd74426e8374ac110c4036c77c09ab_000000000646,0.344520,1667.418398,302.062769,112.706130
134,592,11dd74426e8374ac110c4036c77c09ab_000000000647,0.338788,1763.299857,304.586579,116.240152
134,593,11dd74426e8374ac110c4036c77c09ab_000000000648,0.344520,1776.498516,302.174090,112.554152
134,594,11dd74426e8374ac110c4036c77c09ab_000000000649,0.344520,1785.519288,303.504376,111.428667
134,595,11dd74426e8374ac110c4036c77c09ab_000000000650,0.350446,1857.660424,311.105342,113.346140
134,596,11dd74426e8374ac110c4036c77c09ab_000000000651,0.345599,1765.303076,305.967716,114.337209
134,597,11dd74426e8374ac110c4036c77c09ab_000000000652,0.345599,1771.991639,304.694776,113.915947
135,596,11dd74426e8374ac110c4036c77c09ab_000000000651,0.345599,1.328755,350.267179,122.197075
135,597,11dd74426e8374ac110c4036c77c09ab_000000000652,0.345599,1.134667,350.458287,123.095349
136,598,11dd74426e8374ac110c4036c77c09ab_000000000653,0.344520,482.373887,372.631788,230.352210
136,599,11dd74426e8374ac110c4036c77c09ab_000000000654,0.344520,481.424332,371.951747,230.102715
136,600,11dd74426e8374ac110c4036c77c09ab_000000000655,0.344520,474.540059,370.632375,230.147756
137,598,11dd74426e8374ac110c4036c77c09ab_000000000653,0.344520,348.011869,304.887967,207.537065
137,599,11dd74426e8374ac110c4036c77c09ab_000000000654,0.344520,299.228487,304.403759,208.578028
137,600,11dd74426e8374ac110c4036c77c09ab_000000000655,0.344520,309.080119,305.185007,208.707118
138,598,11dd74426e8374ac110c4036c77c09ab_000000000653,0.344520,1734.124629,305.048956,112.549893
138,599,11dd74426e8374ac110c4036c77c09ab_000000000654,0.344520,1732.700297,305.176364,113.226749
138,600,11dd74426e8374ac110c4036c77c09ab_000000000655,0.344520,1723.323442,305.159668,113.507250
139,601,11dd74426e8374ac110c4036c77c09ab_000000000656,0.344520,473.827893,372.885468,230.172906
140,601,11dd74426e8374ac110c4036c77c09ab_000000000656,0.344520,307.774481,305.307263,208.720765
141,601,11dd74426e8374ac110c4036c77c09ab_000000000656,0.344520,0.949555,349.333275,121.706255
142,601,11dd74426e8374ac110c4036c77c09ab_000000000656,0.344520,1719.287834,301.308289,112.182842
143,602,11dd74426e8374ac110c4036c77c09ab_000000000657,0.343351,467.079281,370.126338,230.531730
143,603,11dd74426e8374ac110c4036c77c09ab_000000000658,0.338788,451.305595,367.751520,227.114050
143,604,11dd74426e8374ac110c4036c77c09ab_000000000659,0.343351,464.249926,372.441609,230.896918
143,605,11dd74426e8374ac110c4036c77c09ab_000000000660,0.350446,492.723365,377.773994,235.012549
143,606,11dd74426e8374ac110c4036c77c09ab_000000000661,0.350446,497.144612,378.200886,233.979135
143,607,11dd74426e8374ac110c4036c77c09ab_000000000662,0.337676,456.784493,364.389551,224.898362
